# peak_freq_hz,996.7085
# peak_db,-5.71
# harmonic2_freq_hz,2002.3278
# harmonic2_db,-49.66
# snr_db,51.03
# noise_floor_db,-58.01
# thd_percent,0.820

time_s,amplitude,freq_hz,magnitude,magnitude_db
0.0,0.40782958984374984,0.0,0.00563836243203917,-44.97694022374043
3.107713344521101e-05,0.4718295898437499,15.711914062500002,0.004065020636440991,-47.81874490445365
6.215426689042202e-05,0.49482958984375003,31.423828125000004,0.0009043096254439105,-60.873656920736245
9.323140033563304e-05,0.4998295898437499,47.13574218750001,0.0006443140833778738,-63.818047501872186
0.00012430853378084405,0.4978295898437497,62.84765625000001,0.0008850388241570522,-61.06075354239111
0.00015538566722605505,0.4838295898437499,78.55957031250001,0.0006599215517973641,-63.61015375013558
0.00018646280067126608,0.42482958984374974,94.27148437500001,0.00036536781262147896,-68.7453942727985
0.0002175399341164771,0.3718295898437498,109.98339843750001,0.00026014591765813447,-71.69565966429259
0.0002486170675616881,0.28482958984374984,125.69531250000001,0.0005864345656163048,-64.63560877387756
0.0002796942010068991,0.19582958984374987,141.40722656250003,0.0003799216162931213,-68.40611989336898
0.0003107713344521101,0.10882958984374991,157.11914062500003,0.0003583243950482622,-68.91447244909996
0.0003418484678973211,0.00982958984374993,172.83105468750003,0.0006123755225735678,-64.2596435243799
0.00037292560134253216,-0.09017041015625016,188.54296875000003,0.00042214905480547854,-67.4906835549823
0.00040400273478774317,-0.17717041015625012,204.25488281250003,0.0004778153451352648,-66.41479811998417
0.0004350798682329542,-0.2721704101562501,219.96679687500003,0.0009657739446556687,-60.30249030073874
0.0004661570016781652,-0.34817041015625017,235.67871093750003,0.004626445461372272,-46.69505106063773
0.0004972341351233762,-0.4131704101562501,251.39062500000003,0.005290421634935901,-45.53019428382095
0.0005283112685685872,-0.46317041015625016,267.10253906250006,0.0031406230618740596,-50.05968368869438
0.0005593884020137982,-0.4961704101562501,282.81445312500006,0.0004311195145690345,-67.30804634820599
0.0005904655354590093,-0.5061704101562501,298.52636718750006,0.0006509446619483965,-63.72911858801055
0.0006215426689042202,-0.4961704101562501,314.23828125000006,0.0005215461828127068,-65.65414456020719
0.0006526198023494313,-0.46717041015625016,329.95019531250006,0.00035275303906607007,-69.05058469515878
0.0006836969357946422,-0.4271704101562501,345.66210937500006,0.00013483969350141636,-77.40364480212239
0.0007147740692398533,-0.36517041015625007,361.37402343750006,0.0003316078142410018,-69.58750485338548
0.0007458512026850643,-0.28717041015625,377.08593750000006,0.00010649418212822572,-79.45348226784864
0.0007769283361302753,-0.22017041015625005,392.79785156250006,7.335817139120331e-05,-82.69102993997296
0.0008080054695754863,-0.10717041015625006,408.50976562500006,0.0005338580258276123,-65.45148446104858
0.0008390826030206973,-0.004170410156250082,424.22167968750006,0.0008661476531535939,-61.248161330137464
0.0008701597364659083,0.08482958984374989,439.93359375000006,0.0006717270926866379,-63.45614268710644
0.0009012368699111193,0.17582958984374986,455.64550781250006,0.0007094279975904695,-62.981833509461104
0.0009323140033563304,0.27582958984374994,471.35742187500006,0.0013770100513033957,-57.22125778681563
0.0009633911368015413,0.3448295898437499,487.06933593750006,0.006478818756362814,-43.7700833823504
0.0009944682702467524,0.40182958984375006,502.78125000000006,0.006255213333175863,-44.07515748191979
0.0010255454036919634,0.46282958984375,518.4931640625001,0.0022160415275159105,-53.088442104176245
0.0010566225371371745,0.4888295898437498,534.2050781250001,0.00046828384533920424,-66.58981646283993
0.0010876996705823853,0.50282958984375,549.9169921875001,0.0012123338497826088,-58.32755536598006
0.0011187768040275964,0.4978295898437497,565.6289062500001,0.0009892431303542774,-60.0939391300644
0.0011498539374728074,0.4738295898437501,581.3408203125001,0.0007734038683415774,-62.23187318962183
0.0011809310709180185,0.42482958984374974,597.0527343750001,0.00031509580719924765,-70.03114748638006
0.0012120082043632293,0.3668295898437499,612.7646484375001,0.00039768814882847845,-68.0091469955068
0.0012430853378084404,0.29182958984374996,628.4765625000001,0.00044196730253447906,-67.09219716594984
0.0012741624712536515,0.2098295898437499,644.1884765625001,7.249588246303775e-06,-102.79373198752423
0.0013052396046988625,0.12382958984374981,659.9003906250001,0.0008494887845249071,-61.41684700139131
0.0013363167381440736,0.025829589843749945,675.6123046875001,0.0017970141401843142,-54.90897010596576
0.0013673938715892844,-0.09317041015625005,691.3242187500001,0.001637050158258906,-55.71876027180239
0.0013984710050344955,-0.17817041015625001,707.0361328125001,0.0005874855758134243,-64.62005582324308
0.0014295481384797065,-0.2741704101562501,722.7480468750001,0.0034198763446977158,-49.319791933567394
0.0014606252719249176,-0.34317041015625005,738.4599609375001,0.012994361896264205,-37.72490084315346
0.0014917024053701287,-0.4171704101562501,754.1718750000001,0.011716867683574494,-38.62376948840997
0.0015227795388153395,-0.46017041015625004,769.8837890625001,0.0031846478138561765,-49.9387717722029
0.0015538566722605506,-0.5021704101562501,785.5957031250001,0.0005415073281231127,-65.32791321932595
0.0015849338057057616,-0.5081704101562501,801.3076171875001,0.0018108934860749115,-54.84214186435372
0.0016160109391509727,-0.5031704101562502,817.0195312500001,0.0017067098376067709,-55.35680615888184
0.0016470880725961835,-0.47717041015625017,832.7314453125001,0.0006163874622565164,-64.20292406013287
0.0016781652060413946,-0.43417041015625,848.4433593750001,0.0003457908757540046,-69.22372938420669
0.0017092423394866056,-0.36117041015625007,864.1552734375001,0.0014082900003720372,-57.026158082471184
0.0017403194729318167,-0.2901704101562501,879.8671875000001,0.0013271659445356506,-57.54149541272541
0.0017713966063770278,-0.20717041015625015,895.5791015625001,0.0007580214400962339,-62.40637019822741
0.0018024737398222386,-0.10917041015625006,911.2910156250001,0.002351391696031878,-52.57350039334095
0.0018335508732674497,-0.018170410156250094,927.0029296875001,0.006816067224430442,-43.32932269731096
0.0018646280067126607,0.08882958984374989,942.7148437500001,0.007336679179577001,-42.69000942810347
0.0018957051401578718,0.17682958984374997,958.4267578125001,0.013567060492215625,-37.35028477099758
0.0019267822736030826,0.26582958984374994,974.1386718750001,0.10591308342847496,-19.501007764751385
0.0019578594070482937,0.3348295898437499,989.8505859375001,0.44749331047850627,-6.984269050248616
0.0019889365404935047,0.40982958984375006,1005.5625000000001,0.4058211572428796,-7.833306300575527
